Feature,Importance
MonthlyIncome,0.07496768933556817
OverTime,0.0648227681621535
Age,0.05686534424438894
DailyRate,0.05050538321644945
TotalWorkingYears,0.048103852605074854
MonthlyRate,0.04708956512399062
EmployeeNumber,0.045296248813904726
HourlyRate,0.04335201364599816
DistanceFromHome,0.042012343520282186
YearsAtCompany,0.04191372576857256
NumCompaniesWorked,0.036034902123189314
JobRole,0.03273061680924493
PercentSalaryHike,0.03253001090362797
StockOptionLevel,0.0318401769744391
YearsWithCurrManager,0.02851212516886379
YearsInCurrentRole,0.027299052142420437
JobLevel,0.026893365242182866
YearsSinceLastPromotion,0.0265489742770406
TrainingTimesLastYear,0.025412757387657612
JobSatisfaction,0.025367565077897412
MaritalStatus,0.02515148445077312
EnvironmentSatisfaction,0.02460248344908844
EducationField,0.02397202458835156
JobInvolvement,0.022656689917738372
RelationshipSatisfaction,0.020103960733415277
WorkLifeBalance,0.019841340215829485
Education,0.01848780825134767
BusinessTravel,0.012576946873831842
Department,0.011563649462083714
Gender,0.007986795022732963
PerformanceRating,0.004958336491860307
StandardHours,0.0
EmployeeCount,0.0
Over18,0.0
